Unnamed: 0,id,fecha_hora,nombre_del,entidad,cargo,fecha_ho_1,incertidum,latitud,longitud,incertid_1,tipo_movim,origen,municipio,corregimie,vereda_bar,sector,direccion,muertes,heridos,desapareci,otras_afec,fuente,observacio,validado,DEM_mean,slope_mean,aspect_mean,nhd_mean,geo,cober,pre_anual,fecha,mes,pre_mensual,cp1,cp3,cp5,cp7,cp10,lp15_cp1,lp20_cp1,lp30_cp1,lp40_cp1,lp50_cp1,lp60_cp1,lp90_cp1,lp15_cp3,lp20_cp3,lp30_cp3,lp40_cp3,lp50_cp3,lp60_cp3,lp90_cp3,lp15_cp5,lp20_cp5,lp30_cp5,lp40_cp5,lp50_cp5,lp60_cp5,lp90_cp5,lp15_cp7,lp20_cp7,lp30_cp7,lp40_cp7,lp50_cp7,lp60_cp7,lp90_cp7,lp15_cp10,lp20_cp10,lp30_cp10,lp40_cp10,lp50_cp10,lp60_cp10,lp90_cp10
0,1000,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022-10-20 02:00:00,Baja,6.24915326299998,-75.625464498,Media,Deslizamiento,Antrópico,Medellín,Comuna 13 San Javier,Las Independencias,,Carrera 113 # 36 C - 42,0.0,0.0,,,DAGRD,,1,1659.767578125,36.9327138264974,274.84246826171875,0.2020709117253621,8.0,7.0,1916.7314,2022-10-20 02:00:00,10,239.29034,30.53587245628,47.59233918628,59.25138591628,63.72551042628,68.68512252628,80.262353295,102.118819145,168.841741115,259.1178949379,370.0266016379,453.0186963917,767.4216035955,61.473946475,94.088458705,180.9689203579,259.0464942179,395.0514827279,447.9325838855,755.1989416055,63.904411853720006,88.85461645372,205.72194741790003,264.8514736879,396.5946152179,444.1644128555,756.9419194454999,73.99000571372001,101.59173520372,223.0727382179,291.6589766579,392.5680755179,480.8469104255,762.7246730755,79.42087984372,125.27947566372,218.7712916779,333.19510437789995,410.5225922817,487.6938778055,779.9731698655
5,1478,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2024-07-01 12:50:00,Baja,6.26543338883258,-75.61442050660635,Media,Otro,Antrópico,Medellín,Comuna 13 San Javier,Juan XXIII La Quiebra,,Calle 48 DD # 99 D - 20 Interior 106,0.0,0.0,,,DAGRD,,1,1606.907001201923,18.790580162635216,219.70594200721155,0.0943033420122586,9.0,7.0,1864.2473,2024-07-01 12:50:00,7,130.3031,15.25182755,17.26184292,55.9794229082,106.6983742782,128.07664731057,156.74371081,192.279467962,232.336412202,314.392856175,380.750275115,478.689438245,648.80228888238,179.718294382,212.166319082,248.964688162,338.75800875500005,397.280263465,477.320011115,646.7927915953601,143.099087712,176.30329931199998,241.146847915,302.045851385,390.356666315,457.789872465,608.0752116071599,109.036000992,132.600496442,193.113472425,265.693474705,345.656279945,425.871015185,558.7880827371599,104.649793782,121.977997572,197.592418445,264.233444305,353.043231655,437.725691105,537.70107897302
6,1456,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2024-06-27 07:00:00,Baja,6.207613948423542,-75.61102127710888,Media,Otro,Antrópico,Medellín,Corregimiento 70 Altavista,San José del Manzanillo,,Calle 5 Sur # 85 - 40,0.0,0.0,,,DAGRD,,1,1732.7491861979167,20.94786834716797,116.6986083984375,0.8667635122934977,8.0,8.0,1916.7314,2024-06-27 07:00:00,6,176.7423,7.072090439999999,42.63497749,69.14814511099999,73.136447481,91.676191041,137.08380451699998,168.57601370700002,249.134667019,300.782372246,400.498696607,477.1126460173999,600.2672017574,115.710759727,138.4823753634,220.6415993164,279.9882647014,372.6331933174,460.1050558514,569.4325771014,105.265111596,128.9328362334,219.54282948040003,275.7660270854,384.2109870514,447.60894814540006,550.0581113654,101.276809226,127.6999395834,227.8681699804,283.3150296474,398.7312903254,460.8768014494,545.5955168521,107.3026269434,154.99897898540002,219.53997112040005,297.6783969314,384.3236539854,464.0927397494,531.2010535621
7,1453,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2024-06-28 07:00:00,Baja,6.26660555,-75.62980022,Media,Deslizamiento,Antrópico,Medellín,Corregimiento 60 San Cristóbal,La Loma,,Carrera 125 # 50 C - 48,0.0,0.0,,,DAGRD,,1,1725.4622395833333,17.25426991780599,259.77569580078125,0.149360458056132,8.0,7.0,1864.2473,2024-06-28 07:00:00,6,159.97847,26.812922220000004,73.76413597,86.34245967,111.23361298,137.61698843,156.02088669,189.202667726,244.51121453,311.783518363,381.657569633,451.9326654830001,612.03640866,124.29958559,146.217113876,215.0504293,269.232471843,358.149958973,430.609862822,568.59889066,131.734561856,146.82778176,202.97430956,285.688168623,353.702761403,441.004812832,556.14005214,105.96181606,127.78366948,197.126202546,260.84222586100003,352.18042535300003,444.060477988,530.4648850599999,93.45258984,122.76565159999998,200.695272113,257.457941413,335.880549033,436.393242454,506.01930865
9,1446,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2024-06-19 18:00:00,Baja,6.270814125066564,-75.63108629392512,Media,Deslizamiento,Antrópico,Medellín,Corregimiento 60 San Cristóbal,La Loma,,Carrera 125 A # 53 A - 38,0.0,0.0,,,DAGRD,,1,1828.175030048077,17.930432833158054,187.098614032452,0.6365598531869742,12.0,8.0,1864.2473,2024-06-19 18:00:00,6,159.97847,19.8895792,22.685799905,57.811293325,66.25484828500001,76.178713595,94.88562013,122.6381451,205.878707572,254.978879887,341.813767477,445.557886601,510.972139441,98.56476039,139.66140427,203.571235672,291.371195027,358.926930507,459.769341296,512.3541082859999,81.72380805,110.13642246,178.84980675,259.342434145,343.656371935,427.767373706,477.22861486599993,88.94193733,118.944517656,193.58399150500003,277.203176995,359.233776969,421.241843986,468.785059906,90.75084371,137.01584658299998,193.564983105,284.711833115,387.792420076,411.317978676,460.142494366
13,1443,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2024-06-16 23:00:00,Baja,6.2163386948959,-75.60359524307123,Media,Deslizamiento,Antrópico,Medellín,Comuna 16 Belén,La Loma de Los Bernal,,Calle 4 # 79 B - 93,0.0,0.0,,,DAGRD,,1,1530.4480794270833,28.74408467610677,20.77003733317057,0.4899642467498779,8.0,8.0,1916.7314,2024-06-16 23:00:00,6,176.7423,15.8160837,39.27500779,46.669499290000005,56.4882678,77.29587427000001,86.425029928,155.047744518,205.912668508,307.492141924,383.276689104,454.625672087,521.397292821,99.240329808,135.04185649800002,213.055768588,288.680751804,378.728239951,433.63906472,497.428428114,110.489544158,152.197013098,211.040785068,314.703892064,383.563348631,426.29813614,490.355842264,113.037588808,160.926820898,215.730681154,324.749338814,390.285064325,416.16524822,480.369730584,121.570638118,141.24870022800002,238.803891424,313.92586390400004,390.819218645,393.89462026,465.303936898
16,1405,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2023-05-29 20:00:00,Baja,6.2490532,-75.6368111,Media,Deslizamiento,Antrópico,Medellín,Comuna 13 San Javier,Nuevos Conquistadores,,Carrera 117 B # 36 C - 42,0.0,0.0,,,DAGRD,,1,1860.830357142857,32.36696297781808,339.7118443080357,0.6664571762084961,8.0,8.0,1916.7314,2023-05-29 20:00:00,5,233.13675,7.3468179,36.35893036,59.52071596000001,76.03744646000001,107.72740636,135.977361556,174.141976526,196.349583396,236.741288213,286.073455495,294.812088515,488.05347273,105.42046039000002,143.988743366,182.287644963,219.076830303,254.976031655,275.863373282,457.31787529,118.500163016,120.826957766,164.88920962499998,216.216392743,232.402624755,264.091395916,434.47741914,106.448140295,106.448140295,153.853712455,204.059136205,222.933611635,268.175714495,420.34531125,72.62026736600001,86.200971906,134.043047595,177.968980735,192.297749195,244.276342025,413.09959361
17,213,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2021-05-17 15:58:00,Baja,6.253717757,-75.629275996,Media,Deslizamiento,Antrópico,Medellín,Comuna 13 San Javier,El Salado,,Calle 39 DA # 119 - 42 Interior 101,0.0,0.0,,,DAGRD,,1,1649.926983173077,26.275118314302883,6.4376701941856975,0.2736905538118802,8.0,7.0,1864.2473,2021-05-17 15:58:00,5,247.5928,17.528023,31.662503305,44.613749655,44.613749655,84.41396958600001,142.492755506,200.56965618,249.706605206,328.264955267,513.314230943,703.6418247239999,955.279498332,166.28558174,227.5296465,267.93592827,398.179059401,525.7737335669999,725.039725098,957.803261586,163.15632068399998,219.38673244,254.20872255,451.353414391,547.268006977,728.125248188,957.258071546,213.774214112,222.801973672,266.296471582,476.491318003,600.359814921,772.15480312,978.492585027,178.44540857,181.88887647,260.447226531,438.835379107,618.509176059,741.266325608,966.5681927849998
18,575,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022-04-03 21:30:00,Baja,6.35340852600001,-75.702042332,Media,Deslizamiento,Antrópico,Medellín,Corregimiento 50 San Sebastián de Palmitas,Potrera Miserenga,,Carrera 212 # 170 - 255 Dirección de referencia,0.0,0.0,,,DAGRD,,1,1711.4918619791667,14.712064107259115,249.3162027994792,0.0077420311669508,2.0,8.0,1653.7441,2022-04-03 21:30:00,4,177.79059,74.15679752999999,98.175873121,137.12632249799998,212.79680118,261.61062172,231.3056627,290.479572949,400.539512559,483.515809299,556.882707449,613.958939073,662.986584295,227.46617397,268.833343669,405.876595199,464.595556709,536.6747464289999,589.461739693,698.513558679,206.06273078,225.493489409,398.571164839,458.164338678,507.952945832,545.854019933,660.418676249,152.780383549,172.00812664899996,337.39894355900003,389.067387859,458.998393023,476.530031733,598.271391509,113.057744909,210.084460479,302.748298759,375.075754609,433.418275433,435.634371893,591.8523806210001
21,365,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2021-10-15 15:00:00,Baja,6.29457289700002,-75.595869404,Media,Deslizamiento,Antrópico,Medellín,Comuna 7 Robledo,Aures No.2,,Calle 79 BB # 96 - 131 Interior 103,0.0,2.0,,,DAGRD,,1,1905.7835286458333,16.144317626953125,172.8680623372396,0.8221151034037272,12.0,8.0,1999.781,2021-10-15 15:00:00,10,257.31787,5.098610978,28.855201748,34.690743048,35.559714448,56.549697032,83.05143200999998,107.150296337,235.78654447,389.079362738,470.323051576,623.517389803,907.837044463,85.024244107,138.624224827,220.2212377,370.763001658,465.895699586,642.954089953,902.713625493,78.209922447,169.62167504,237.93553791,374.666946208,472.115951516,677.306390653,900.946335623,93.155797867,189.30881034,243.93924027,425.561179388,517.880931576,716.119135083,917.907990083,147.51400909,167.89207099,295.495630468,410.71514271600006,556.2474689530001,707.1794206330001,924.162709093
