,fecha_no,latitud,longitud,geometry,cp1,cp3,cp5,cp7,cp10,lp15_cp1,lp20_cp1,lp30_cp1,lp40_cp1,lp50_cp1,lp60_cp1,lp90_cp1,lp15_cp3,lp20_cp3,lp30_cp3,lp40_cp3,lp50_cp3,lp60_cp3,lp90_cp3,lp15_cp5,lp20_cp5,lp30_cp5,lp40_cp5,lp50_cp5,lp60_cp5,lp90_cp5,lp15_cp7,lp20_cp7,lp30_cp7,lp40_cp7,lp50_cp7,lp60_cp7,lp90_cp7,lp15_cp10,lp20_cp10,lp30_cp10,lp40_cp10,lp50_cp10,lp60_cp10,lp90_cp10,DEM_mean,slope_mean,aspect_mean,nhd_mean,geo,cober,pre_anual,fecha,mes,pre_mensual
0,2018-01-02,6.308715579798969,-75.67075761323602,POINT (823684.8509168194 1189646.86222054),29.479306537,35.778648157,70.24540945700001,75.350740487,119.595356763,96.554217733,105.159143083,238.917458787,274.234039307,417.242548957,485.494668881,780.127915482,89.23810778299999,129.298315913,253.936390911,287.65533546099994,409.1747694249999,486.184511185,819.030267168,55.86056425,178.39441136099998,223.621198211,282.782679261,393.604850795,462.860521365,826.6565495079999,59.44588141,173.339846621,218.786631051,312.802140241,394.559986785,496.740358245,823.132616618,144.70781168099998,153.25474017099998,194.844830261,338.131810721,405.206944565,506.712282225,803.819163754,2582.3819110576924,26.961942232572117,149.73445951021634,0.9645005739652194,8.0,3.0,1774.0905,2018-01-02,1,53.352077
1,2017-10-27,6.27671437552253,-75.65537529139341,POINT (825376.8538571396 1186101.4273249),10.70666723,27.219014889,71.477866779,89.867532316,90.325215736,94.070714819,115.034224244,224.336301395,346.99528741800003,478.125995293,594.676309219,760.998888891,92.774264245,113.681658586,216.941698771,347.19300857900004,477.838290565,590.03108376,744.784287432,57.30148203,87.22873193999999,221.002494915,337.100813505,436.951183445,553.17515241,702.870341992,47.282440502300005,136.975636975,208.496461785,336.130376204,425.720516768,538.546301963,684.729170905,67.913621733,145.125487145,243.4178278474,388.267201707,495.726897753,558.692638173,699.820905992,2092.5891335227275,33.34553666548295,23.84096735174006,0.5230439792979847,8.0,6.0,1934.6694,2017-10-27,10,248.56665
2,2016-06-20,6.239647578324827,-75.60946180564885,POINT (830447.3691620594 1181985.7798131),9.01948065,23.6547883,26.37176656,32.2411642,39.40057835,81.081449337,185.786848907,227.047401301,302.827515167,436.764732167,514.048835647,724.2633440330001,96.97408501,181.230445827,213.284034507,331.334968283,444.679524527,495.798362477,714.226895173,125.6556643,201.983631851,226.347129917,379.954566053,461.440479627,493.081384217,727.4331697130001,170.446961667,199.921761351,220.47773227700003,382.901386563,485.683818377,487.211986577,721.693820557,190.271145931,194.078673071,219.402146497,398.692968473,480.8005086769999,507.4530855070001,755.106746427,1560.1006610576924,10.07147451547476,51.48901836688702,0.7719475672795222,8.0,7.0,1916.7314,2016-06-20,6,176.7423
3,2018-11-18,6.3051982977189285,-75.58146322245938,POINT (833567.6862727801 1189228.3997360999),7.3944602,7.3944602,20.86534666,21.15922356,23.35499032,102.81416589,135.69716129,192.130237538,274.124795265,393.111185013,513.261939015,735.2398004390001,125.97966171,135.69716129,213.444287418,284.641052063,455.866600263,524.509695565,739.0903373589999,122.22627483,130.454079371,200.168386888,313.208495603,442.965183355,547.0841615520001,731.514834124,121.93239793,139.28865841,200.187537682,323.180537313,468.298520535,560.6915421589999,754.010140194,127.89168876,173.06739485000003,244.05675998100003,368.161954293,484.592374423,560.347733459,750.117232824,1765.510653409091,22.07021817294034,62.13780628551137,0.12311027266762474,12.0,7.0,1745.7523,2018-11-18,11,182.21648
4,2017-10-19,6.300838995600953,-75.60820118106516,POINT (830606.6811272204 1188754.75538558),0.0,0.351339944,1.879461075,8.402078605,15.147279145,35.466046998,116.542759248,181.698418733,322.773100493,408.975600119,493.10120523,651.5314391009999,69.382112694,116.537955644,230.398912849,352.729573429,449.756500655,495.524871203,669.1096863109999,115.019277247,120.97659926699998,247.660440012,362.197051472,458.5212416680001,505.903360598,685.664374891,108.216429277,141.85557529699997,285.049656782,361.721167352,456.247615348,503.672756388,698.570471461,107.576991867,163.268356617,302.757948312,358.395546418,469.22453265,549.538239986,693.177825061,2230.9786658653848,20.864642803485577,223.17499248798077,0.05048950818868784,12.0,5.0,1735.6305,2017-10-19,10,218.72998
5,2017-10-19,6.253919279344084,-75.53139199129653,POINT (839094.1634090199 1183540.06904102),1.1869836016000002,4.2975579663,8.082564079,13.3374025589,25.828268921,51.042159373,146.125548294,184.35583309,337.50567684600003,418.307382391,484.292182311,655.411999231,98.447697611,145.514228589,223.982121835,381.586263255,448.22254493,498.2722366,675.64799167,134.237724528,143.589035819,235.581837225,385.614322935,454.87786012999993,504.46172909,710.03683929,136.192194869,164.304477499,253.865337515,385.660713305,453.06986615,501.60761303,708.947692395,128.032653433,159.45717749300002,278.883189359,377.379037664,447.176491444,536.196807174,701.552795069,2172.5536358173076,10.115716787484976,182.453125,0.7633664057804987,4.0,0.0,1850.9341,2017-10-19,10,219.28531
6,2019-01-17,6.200863064422803,-75.69399978467068,POINT (821075.4307978187 1177722.98065842),1.3755696,1.71854411,2.72070092,20.977027980000003,46.42344845,71.78722909000001,71.78722909,72.63733484000001,124.701161243,215.600014949,324.258325209,569.257259623,71.31667008,71.31667008,72.16677582999999,139.457527183,251.216181649,325.788983179,594.068663043,70.36780485,70.36780485,100.6377714,156.109308063,257.542245519,344.647632779,599.022279957,56.42794776,57.1434564,86.729421813,152.36107739899998,270.353802079,335.665953899,586.310113057,31.727919900000003,32.57802565,62.573441153000005,152.323099299,268.594497039,330.130423029,626.405727511,2191.6380208333335,37.66595458984375,51.97077433268229,0.4771251678466797,17.0,1.0,2009.2482,2019-01-17,1,74.56511
7,2018-01-09,6.300703017265796,-75.65385951936936,POINT (825552.6463704183 1188754.75538558),3.27792864,3.27792864,43.76063172,63.99940672,104.194399784,148.07053205399998,148.070532054,211.111897634,260.028153658,276.496297988,391.223670898,616.302646225,148.07053205399998,148.317816864,232.013128584,260.527964698,316.905175128,405.429598198,650.629918025,110.894419824,111.24617276600002,200.386940344,221.970843118,325.289797318,368.267330088,614.487494905,95.722596709,95.73324263700002,182.18799353,206.295760684,321.859968534,376.102574304,606.671333275,52.844671467,76.6499925,156.470338584,174.643003964,285.184351014,348.618504724,617.148069865,2066.7254464285716,14.56844983782087,237.357421875,0.2634054592677525,12.0,6.0,1774.0905,2018-01-09,1,53.352077
8,2017-11-09,6.183892852091675,-75.67018169341472,POINT (823706.8249809786 1175837.6002340203),2.25426724,4.15536918,22.264163082,48.671821603,64.427835653,134.520736751,217.880930211,249.8642587,381.66924939,447.83073684,612.0272286029999,914.936908103,143.588459258,217.450046015,271.176642138,382.533775697,463.599848957,637.270257313,929.128745833,201.642176492,202.335639155,268.416470688,371.889889857,504.388190594,666.4312225030001,925.504052427,171.463375848,178.58327871799997,254.78074575,372.6707717869999,512.941742794,655.1701331229999,924.405524287,156.776043723,177.98849381,295.773321604,382.962874727,543.457788028,656.298995783,923.490226477,2171.977627840909,15.442663019353693,52.26423228870738,0.2920544624328613,14.0,8.0,2044.8639,2017-11-09,11,203.36482
9,2018-09-13,6.30628236955423,-75.65074973462451,POINT (825898.7378809396 1189370.95289014),4.322962599999999,4.72331961,13.44572461,52.34514549749999,98.747965985,105.138403485,143.709877806,198.176224004,271.561679466,347.088074731,364.886758875,553.9352714725001,135.305309026,143.441849876,197.908196074,271.87961132500004,352.21818700100005,368.622945185,558.7159716925,134.22584935600003,142.11816875600002,190.40318655400003,283.73236272500003,348.472693681,361.164614451,563.6055068124999,99.412894501,108.443952741,153.890152381,265.62070624,313.638552856,325.563656296,526.088528694,54.723541101,97.761356903,151.626919041,237.039688072,271.420080202,277.066623328,479.686030624,2206.8389423076924,11.499318049504208,197.49714543269232,0.7601302220271184,12.0,6.0,1735.6305,2018-09-13,9,187.28198
